🏧,ATM sign cash machine get money broke withdraw cash out
🚮,litter in bin sign clean up do your part keep it clean don't litter trash can
🚰,potable water drinking water stay hydrated h2o safe to drink water fountain
♿,wheelchair symbol accessibility disability pride handicap accessible wheelchair user inclusive
🚹,men’s room men's restroom bathroom boys room toilet gotta go
🚺,women’s room women's restroom bathroom ladies room toilet gotta go
🚻,restroom bathroom toilet washroom unisex public toilet
🚼,baby symbol baby changing station new parent diaper change got a baby family friendly
🚾,water closet toilet bathroom restroom WC loo
🛂,passport control airport security border control travel vacation customs
🛃,customs airport security border patrol declaration traveling smuggling
🛄,baggage claim airport luggage traveling lost baggage where's my stuff
🛅,left luggage luggage storage travel hack bag drop holding bags airport services
⚠️,warning red flag proceed with caution be careful sketchy warning sign
🚸,children crossing slow down school zone watch out for kids careful driving pedestrian crossing
⛔,no entry do not enter access denied wrong way restricted area stop
🚫,prohibited not allowed forbidden it's a no restricted banned
🚳,no bicycles no bikes allowed dismount walk your bike restricted path cyclists
🚭,no smoking no smoking zone vaping included put it out healthy lungs smoke free
🚯,no littering keep our planet clean trash goes in the bin don't be a litterbug eco-friendly clean environment
🚱,non-potable water do not drink unsafe water not for drinking contaminated use with caution
🚷,no pedestrians no walking use sidewalk danger restricted access cars only
📵,no mobile phones no phone zone unplug digital detox be present put it away
🔞,no one under eighteen 18+ adults only mature content restricted id check
☢️,radioactive nuclear toxic fallout danger zone hazardous
☣️,biohazard zombie outbreak pandemic toxic danger quarantine
⬆️,up arrow level up this scroll up increase going up
↗️,up-right arrow stonks growth going up diagonal on the rise
➡️,right arrow next swipe right this way proceed move it
↘️,down-right arrow not stonks decrease going down on the decline oops
⬇️,down arrow scroll down download this link below decrease
↙️,down-left arrow also not stonks big decrease uh oh going down fast sharp decline
⬅️,left arrow previous swipe left go back this way back
↖️,up-left arrow increase again recovering look up diagonal up improvement
↕️,up-down arrow indecisive what's the move up or down fluctuating choices
↔️,left-right arrow which way choices options left or right decision time
↩️,right arrow curving left u-turn go back change of plans nevermind take it back
↪️,left arrow curving right on second thought change direction new plan forward next step
⤴️,right arrow curving up level up let's go moving on up progress next stage
⤵️,right arrow curving down dip down but not out slight decrease going down step down
🔃,clockwise vertical arrows refresh loading syncing again processing
🔄,counterclockwise arrows button do-over try again uno reverse refresh page start over
🔙,BACK arrow take me back rewind i miss it nostalgia go back
🔚,END arrow it's over the end fin that's all folks game over
🔛,ON! arrow it's on let's go game time activated enabled
🔜,SOON arrow coming soon can't wait almost there hype stay tuned
🔝,TOP arrow top tier slay number one A+ the best
🛐,place of worship praying church mosque temple blessed
⚛️,atom symbol science nerd big bang theory physics atomic
🕉️,om zen meditation yoga spiritual peaceful
✡️,star of David jewish hanukkah synagogue mazel tov israel
☸️,wheel of dharma buddhism dharma eightfold path enlightenment reincarnation
☯️,yin yang balance harmony duality good and evil perfectly balanced
✝️,latin cross jesus christianity church faith bless up
☦️,orthodox cross orthodox christianity eastern orthodox faith church religious symbol
☪️,star and crescent islam muslim ramadan mosque eid mubarak
☮️,peace symbol peace and love good vibes only make love not war hippie chill
🕎,menorah hanukkah jewish holiday festival of lights dreidel channukah
🔯,dotted six-pointed star spiritual mystical esoteric occult symbol
🪯,khanda sikhism sikh symbol waheguru punjabi gurdwara
♈,Aries aries gang fire sign ram zodiac astrology
♉,Taurus taurus season earth sign bull zodiac astrology
♊,Gemini gemini energy air sign twins zodiac astrology
♋,Cancer cancer szn water sign crab zodiac astrology
♌,Leo leo energy fire sign lion zodiac astrology
♍,Virgo virgo vibes earth sign maiden zodiac astrology
♎,Libra libra season air sign scales zodiac astrology
♏,Scorpio scorpio energy water sign scorpion zodiac astrology
♐,Sagittarius sagittarius vibes fire sign archer zodiac astrology
♑,Capricorn capricorn season earth sign sea-goat zodiac astrology
♒,Aquarius aquarius energy air sign water-bearer zodiac astrology
♓,Pisces pisces season water sign fish zodiac astrology
⛎,Ophiuchus 13th zodiac serpent-bearer new zodiac astrology controversial
🔀,shuffle tracks button mix it up random playlist spotify shuffle surprise me on shuffle
🔁,repeat button on repeat again and again obsessed with this song replay loop
🔂,repeat single button stuck on this one favorite song just this one loop one replay single
▶️,play button press play let's go start youtube music
⏩,fast-forward button skip ahead get to the good part tl;dr move it along fast forward
⏭️,next track button next song skip on to the next new track next
⏯️,play or pause button play pause take a break hold on continue stop and go
◀️,reverse button go back previous rewind let's see that again back up
⏪,fast reverse button rewind fast go way back missed it fast rewind backtrack
⏮️,last track button previous song go back one last track the one before previous
🔼,upwards button scroll up go up increase higher level up
⏫,fast up button scroll faster all the way up to the top zoom up quick scroll
🔽,downwards button scroll down go down decrease lower see below
⏬,fast down button scroll to bottom all the way down fast scroll quick down end of page
⏸️,pause button hold up wait a minute take a break pause intermission
⏹️,stop button stop that's enough end it cut it's over
⏺️,record button recording now live on air rolling capture this
⏏️,eject button get me out of here yeet eject leave exit
🎦,cinema movie night at the movies film popcorn time feature presentation
🔅,dim button lower brightness too bright chill lighting mood lighting dimmer
🔆,bright button turn up the brightness so bright sunny light mode brighter
📶,antenna bars signal strength full bars wifi connection reception 5g
🛜,wireless wifi internet connection hotspot stay connected online
📳,vibration mode on vibrate silent but deadly buzz buzz notification phone mode
📴,mobile phone off do not disturb unplugged offline no service powered off
♀️,female sign girl power venus woman she/her feminine
♂️,male sign boy power mars man he/him masculine
⚧️,transgender symbol trans rights trans pride protect trans lives gender identity transgender
✖️,multiply times multiplication and collab x marks the spot
➕,plus and addition more positive add
➖,minus less subtraction negative take away remove
➗,divide division split share separate half
🟰,heavy equals sign equals same makes is total
♾️,infinity forever to infinity and beyond endless love no limit
‼️,double exclamation mark omg for real big news urgent attention
⁉️,exclamation question mark what the heck seriously? are you kidding for real? huh
❓,red question mark question huh what confused curious
❔,white question mark question mark curiosity wondering ask what if
❕,white exclamation mark wow omg surprise yay exciting
❗,red exclamation mark important alert breaking news emergency urgent
〰️,wavy dash approximately ish vibe wavy  squiggle
💱,currency exchange travel money foreign exchange money swap fx exchange rate
💲,heavy dollar sign money talks cash rich making bank dollar sign
